transaction_id,investor_id,agent_id,fund_id,transaction_type,transaction_status,trade_date,settlement_date,units,price,gross_amount,fee_amount,net_amount,currency_code,created_at,updated_at
14,35,2,2,SUBSCRIPTION,SETTLED,2026-01-02,2026-01-04,100.464206,110.8344,11134.89,0,11134.89,USD,2026-01-02T10:00:00,
15,49,3,3,SUBSCRIPTION,SETTLED,2026-01-02,2026-01-04,13.650512,94.4221,1288.91,0,1288.91,USD,2026-01-02T10:00:00,
16,27,3,3,REDEMPTION,SETTLED,2026-01-02,2026-01-04,179.353743,154.7806,-27760.48,0,-27760.48,USD,2026-01-02T10:00:00,
17,32,2,1,SUBSCRIPTION,SETTLED,2026-01-02,2026-01-04,239.98347,103.3257,24796.46,0,24796.46,USD,2026-01-02T10:00:00,
18,47,3,1,REDEMPTION,SETTLED,2026-01-02,2026-01-04,187.70396,245.3733,-46057.54,0,-46057.54,USD,2026-01-02T10:00:00,
19,26,3,3,SUBSCRIPTION,SETTLED,2026-01-02,2026-01-04,14.172662,164.2599,2328.0,0,2328.0,USD,2026-01-02T10:00:00,
20,30,2,1,SUBSCRIPTION,SETTLED,2026-01-02,2026-01-04,321.983108,60.7985,19576.09,0,19576.09,USD,2026-01-02T10:00:00,
21,22,3,2,SUBSCRIPTION,SETTLED,2026-01-02,2026-01-04,428.232454,111.1756,47609.0,0,47609.0,USD,2026-01-02T10:00:00,
22,31,2,1,REDEMPTION,SETTLED,2026-01-02,2026-01-04,14.896333,238.4607,-3552.19,0,-3552.19,USD,2026-01-02T10:00:00,
23,5,1,3,SUBSCRIPTION,SETTLED,2026-01-03,2026-01-05,36.345244,69.348,2520.47,0,2520.47,USD,2026-01-03T10:00:00,
24,40,2,1,SUBSCRIPTION,SETTLED,2026-01-03,2026-01-05,646.254422,37.4535,24204.49,0,24204.49,USD,2026-01-03T10:00:00,
25,30,2,3,SUBSCRIPTION,SETTLED,2026-01-03,2026-01-05,122.742066,155.4142,19075.86,0,19075.86,USD,2026-01-03T10:00:00,
26,50,1,1,REDEMPTION,SETTLED,2026-01-03,2026-01-05,389.588438,16.1628,-6296.84,0,-6296.84,USD,2026-01-03T10:00:00,
27,37,1,3,REDEMPTION,SETTLED,2026-01-03,2026-01-05,82.177587,235.9529,-19390.04,0,-19390.04,USD,2026-01-03T10:00:00,
28,5,1,3,REDEMPTION,SETTLED,2026-01-03,2026-01-05,921.018217,34.4563,-31734.88,0,-31734.88,USD,2026-01-03T10:00:00,
29,44,1,3,REDEMPTION,SETTLED,2026-01-03,2026-01-05,274.407401,145.8238,-40015.13,0,-40015.13,USD,2026-01-03T10:00:00,
30,23,3,3,SUBSCRIPTION,SETTLED,2026-01-03,2026-01-05,145.764913,131.4306,19157.97,0,19157.97,USD,2026-01-03T10:00:00,
31,1,3,2,REDEMPTION,SETTLED,2026-01-03,2026-01-05,25.651214,240.589,-6171.4,0,-6171.4,USD,2026-01-03T10:00:00,
32,46,3,1,SUBSCRIPTION,SETTLED,2026-01-03,2026-01-05,152.891499,241.7137,36955.97,0,36955.97,USD,2026-01-03T10:00:00,
33,40,2,3,REDEMPTION,SETTLED,2026-01-03,2026-01-05,114.224386,208.1763,-23778.81,0,-23778.81,USD,2026-01-03T10:00:00,
34,21,1,1,REDEMPTION,SETTLED,2026-01-03,2026-01-05,23.676359,221.5915,-5246.48,0,-5246.48,USD,2026-01-03T10:00:00,
35,49,3,2,SUBSCRIPTION,SETTLED,2026-01-03,2026-01-05,371.864943,90.7352,33741.24,0,33741.24,USD,2026-01-03T10:00:00,
36,21,1,1,SUBSCRIPTION,SETTLED,2026-01-03,2026-01-05,255.35063,72.0046,18386.42,0,18386.42,USD,2026-01-03T10:00:00,
37,39,2,3,REDEMPTION,SETTLED,2026-01-03,2026-01-05,210.71464,133.9905,-28233.76,0,-28233.76,USD,2026-01-03T10:00:00,
38,6,1,1,REDEMPTION,SETTLED,2026-01-03,2026-01-05,129.924854,191.9595,-24940.31,0,-24940.31,USD,2026-01-03T10:00:00,
39,42,2,3,SUBSCRIPTION,SETTLED,2026-01-03,2026-01-05,1232.609301,32.3328,39853.71,0,39853.71,USD,2026-01-03T10:00:00,
40,26,3,3,SUBSCRIPTION,SETTLED,2026-01-03,2026-01-05,340.222939,98.5649,33534.04,0,33534.04,USD,2026-01-03T10:00:00,
41,48,1,3,SUBSCRIPTION,SETTLED,2026-01-04,2026-01-06,472.406521,75.0199,35439.89,0,35439.89,USD,2026-01-04T10:00:00,
42,15,1,1,REDEMPTION,SETTLED,2026-01-04,2026-01-06,87.427473,188.2915,-16461.85,0,-16461.85,USD,2026-01-04T10:00:00,
43,13,2,1,REDEMPTION,SETTLED,2026-01-04,2026-01-06,96.029,151.5009,-14548.48,0,-14548.48,USD,2026-01-04T10:00:00,
44,7,3,1,SUBSCRIPTION,SETTLED,2026-01-04,2026-01-06,226.341403,82.5442,18683.17,0,18683.17,USD,2026-01-04T10:00:00,
45,18,1,1,REDEMPTION,SETTLED,2026-01-04,2026-01-06,158.499032,177.3802,-28114.59,0,-28114.59,USD,2026-01-04T10:00:00,
46,41,3,2,SUBSCRIPTION,SETTLED,2026-01-04,2026-01-06,20.462313,78.2414,1601.0,0,1601.0,USD,2026-01-04T10:00:00,
47,29,1,2,SUBSCRIPTION,SETTLED,2026-01-04,2026-01-06,14.913636,235.8553,3517.46,0,3517.46,USD,2026-01-04T10:00:00,
48,8,3,1,SUBSCRIPTION,SETTLED,2026-01-04,2026-01-06,28.745988,161.067,4630.03,0,4630.03,USD,2026-01-04T10:00:00,
49,10,1,1,REDEMPTION,SETTLED,2026-01-04,2026-01-06,1560.507696,30.4434,-47507.16,0,-47507.16,USD,2026-01-04T10:00:00,
50,8,3,3,REDEMPTION,SETTLED,2026-01-04,2026-01-06,153.718581,199.7778,-30709.56,0,-30709.56,USD,2026-01-04T10:00:00,
51,50,1,3,SUBSCRIPTION,SETTLED,2026-01-04,2026-01-06,559.415251,81.3648,45516.71,0,45516.71,USD,2026-01-04T10:00:00,
52,20,2,3,SUBSCRIPTION,SETTLED,2026-01-04,2026-01-06,164.54365,187.6214,30871.91,0,30871.91,USD,2026-01-04T10:00:00,
53,41,3,1,SUBSCRIPTION,SETTLED,2026-01-04,2026-01-06,73.677177,67.5676,4978.19,0,4978.19,USD,2026-01-04T10:00:00,
54,11,2,1,SUBSCRIPTION,SETTLED,2026-01-04,2026-01-06,283.266601,122.779,34779.19,0,34779.19,USD,2026-01-04T10:00:00,
55,19,1,3,SUBSCRIPTION,SETTLED,2026-01-05,2026-01-07,1592.163748,27.0831,43120.73,0,43120.73,USD,2026-01-05T10:00:00,
56,17,3,3,SUBSCRIPTION,SETTLED,2026-01-05,2026-01-07,702.744769,57.4766,40391.38,0,40391.38,USD,2026-01-05T10:00:00,
57,35,2,1,SUBSCRIPTION,SETTLED,2026-01-05,2026-01-07,218.397391,208.3915,45512.16,0,45512.16,USD,2026-01-05T10:00:00,
58,4,3,1,REDEMPTION,SETTLED,2026-01-05,2026-01-07,145.11353,207.8177,-30157.16,0,-30157.16,USD,2026-01-05T10:00:00,
59,29,1,1,SUBSCRIPTION,SETTLED,2026-01-05,2026-01-07,149.157333,106.602,15900.47,0,15900.47,USD,2026-01-05T10:00:00,
60,33,3,3,SUBSCRIPTION,SETTLED,2026-01-05,2026-01-07,252.555375,19.5666,4941.65,0,4941.65,USD,2026-01-05T10:00:00,
61,48,1,2,SUBSCRIPTION,SETTLED,2026-01-05,2026-01-07,34.913977,64.9419,2267.38,0,2267.38,USD,2026-01-05T10:00:00,
62,49,3,3,REDEMPTION,SETTLED,2026-01-05,2026-01-07,151.36772,193.1462,-29236.1,0,-29236.1,USD,2026-01-05T10:00:00,
63,31,2,3,SUBSCRIPTION,SETTLED,2026-01-05,2026-01-07,856.792339,53.5574,45887.57,0,45887.57,USD,2026-01-05T10:00:00,
64,41,3,2,REDEMPTION,SETTLED,2026-01-05,2026-01-07,222.497512,108.0035,-24030.51,0,-24030.51,USD,2026-01-05T10:00:00,
65,43,2,1,REDEMPTION,SETTLED,2026-01-05,2026-01-07,97.236031,176.4817,-17160.38,0,-17160.38,USD,2026-01-05T10:00:00,
66,26,3,3,SUBSCRIPTION,SETTLED,2026-01-06,2026-01-08,75.308215,70.5757,5314.93,0,5314.93,USD,2026-01-06T10:00:00,
67,50,1,2,REDEMPTION,SETTLED,2026-01-06,2026-01-08,4030.772749,10.2763,-41421.43,0,-41421.43,USD,2026-01-06T10:00:00,
68,27,3,1,SUBSCRIPTION,SETTLED,2026-01-06,2026-01-08,97.768426,191.5464,18727.19,0,18727.19,USD,2026-01-06T10:00:00,
69,49,3,1,SUBSCRIPTION,SETTLED,2026-01-06,2026-01-08,119.977562,232.6415,27911.76,0,27911.76,USD,2026-01-06T10:00:00,
70,45,3,2,SUBSCRIPTION,SETTLED,2026-01-06,2026-01-08,311.81989,156.1292,48684.19,0,48684.19,USD,2026-01-06T10:00:00,
71,46,3,1,SUBSCRIPTION,SETTLED,2026-01-06,2026-01-08,15.475204,107.9178,1670.05,0,1670.05,USD,2026-01-06T10:00:00,
72,8,3,2,REDEMPTION,SETTLED,2026-01-06,2026-01-08,697.244058,46.9531,-32737.77,0,-32737.77,USD,2026-01-06T10:00:00,
73,33,3,3,SUBSCRIPTION,SETTLED,2026-01-06,2026-01-08,170.846009,245.2587,41901.47,0,41901.47,USD,2026-01-06T10:00:00,
74,30,2,3,SUBSCRIPTION,SETTLED,2026-01-06,2026-01-08,67.207473,153.8506,10339.91,0,10339.91,USD,2026-01-06T10:00:00,
75,5,1,2,REDEMPTION,SETTLED,2026-01-06,2026-01-08,468.12453,91.5701,-42866.21,0,-42866.21,USD,2026-01-06T10:00:00,
76,1,3,2,REDEMPTION,SETTLED,2026-01-06,2026-01-08,281.779522,149.1816,-42036.32,0,-42036.32,USD,2026-01-06T10:00:00,
77,10,1,2,SUBSCRIPTION,SETTLED,2026-01-06,2026-01-08,125.726835,142.4602,17911.07,0,17911.07,USD,2026-01-06T10:00:00,
78,30,2,2,REDEMPTION,SETTLED,2026-01-06,2026-01-08,728.800401,67.3133,-49057.96,0,-49057.96,USD,2026-01-06T10:00:00,
79,15,1,2,SUBSCRIPTION,SETTLED,2026-01-06,2026-01-08,209.146817,179.2547,37490.55,0,37490.55,USD,2026-01-06T10:00:00,
80,25,1,3,REDEMPTION,SETTLED,2026-01-06,2026-01-08,708.498386,46.5053,-32948.93,0,-32948.93,USD,2026-01-06T10:00:00,
81,9,2,3,REDEMPTION,SETTLED,2026-01-06,2026-01-08,506.57103,34.0875,-17267.74,0,-17267.74,USD,2026-01-06T10:00:00,
82,7,3,3,REDEMPTION,SETTLED,2026-01-06,2026-01-08,39.285562,44.5973,-1752.03,0,-1752.03,USD,2026-01-06T10:00:00,
83,5,1,2,REDEMPTION,SETTLED,2026-01-06,2026-01-08,87.642051,159.5823,-13986.12,0,-13986.12,USD,2026-01-06T10:00:00,
84,6,1,2,REDEMPTION,SETTLED,2026-01-07,2026-01-09,425.956426,101.2023,-43107.77,0,-43107.77,USD,2026-01-07T10:00:00,
85,41,3,3,REDEMPTION,SETTLED,2026-01-07,2026-01-09,178.123235,139.8438,-24909.43,0,-24909.43,USD,2026-01-07T10:00:00,
86,16,2,3,REDEMPTION,SETTLED,2026-01-07,2026-01-09,233.472763,64.5967,-15081.57,0,-15081.57,USD,2026-01-07T10:00:00,
87,28,1,1,REDEMPTION,SETTLED,2026-01-07,2026-01-09,1040.119631,34.1217,-35490.65,0,-35490.65,USD,2026-01-07T10:00:00,
88,45,3,2,REDEMPTION,SETTLED,2026-01-07,2026-01-09,16.180876,201.0744,-3253.56,0,-3253.56,USD,2026-01-07T10:00:00,
89,23,3,2,SUBSCRIPTION,SETTLED,2026-01-07,2026-01-09,119.06864,108.8924,12965.67,0,12965.67,USD,2026-01-07T10:00:00,
90,11,2,1,SUBSCRIPTION,SETTLED,2026-01-07,2026-01-09,275.12759,158.7305,43671.14,0,43671.14,USD,2026-01-07T10:00:00,
91,32,2,3,SUBSCRIPTION,SETTLED,2026-01-07,2026-01-09,332.555606,70.9546,23596.35,0,23596.35,USD,2026-01-07T10:00:00,
92,43,2,1,REDEMPTION,SETTLED,2026-01-07,2026-01-09,301.112593,79.0316,-23797.41,0,-23797.41,USD,2026-01-07T10:00:00,
93,5,1,2,REDEMPTION,SETTLED,2026-01-07,2026-01-09,603.872147,81.797,-49394.93,0,-49394.93,USD,2026-01-07T10:00:00,
94,45,3,2,SUBSCRIPTION,SETTLED,2026-01-07,2026-01-09,63.253868,249.8497,15803.96,0,15803.96,USD,2026-01-07T10:00:00,
95,7,3,1,SUBSCRIPTION,SETTLED,2026-01-07,2026-01-09,229.467198,81.0094,18589.0,0,18589.0,USD,2026-01-07T10:00:00,
96,2,2,3,SUBSCRIPTION,SETTLED,2026-01-07,2026-01-09,6.41864,217.6162,1396.8,0,1396.8,USD,2026-01-07T10:00:00,
97,39,2,3,SUBSCRIPTION,SETTLED,2026-01-07,2026-01-09,575.747459,78.6866,45303.61,0,45303.61,USD,2026-01-07T10:00:00,
98,39,2,2,SUBSCRIPTION,SETTLED,2026-01-07,2026-01-09,147.062169,70.1504,10316.47,0,10316.47,USD,2026-01-07T10:00:00,
99,41,3,1,REDEMPTION,SETTLED,2026-01-07,2026-01-09,388.271639,84.1439,-32670.69,0,-32670.69,USD,2026-01-07T10:00:00,
100,3,3,3,SUBSCRIPTION,SETTLED,2026-01-07,2026-01-09,32.58358,228.3107,7439.18,0,7439.18,USD,2026-01-07T10:00:00,
101,48,1,2,SUBSCRIPTION,SETTLED,2026-01-07,2026-01-09,53.606357,139.4579,7475.83,0,7475.83,USD,2026-01-07T10:00:00,
102,33,3,2,REDEMPTION,SETTLED,2026-01-08,2026-01-10,65.367276,207.9256,-13591.53,0,-13591.53,USD,2026-01-08T10:00:00,
103,19,1,3,REDEMPTION,SETTLED,2026-01-08,2026-01-10,330.127084,122.3995,-40407.39,0,-40407.39,USD,2026-01-08T10:00:00,
104,10,1,1,REDEMPTION,SETTLED,2026-01-08,2026-01-10,148.811943,245.1861,-36486.62,0,-36486.62,USD,2026-01-08T10:00:00,
105,6,1,2,SUBSCRIPTION,SETTLED,2026-01-08,2026-01-10,229.058839,119.1486,27292.04,0,27292.04,USD,2026-01-08T10:00:00,
106,38,2,2,REDEMPTION,SETTLED,2026-01-08,2026-01-10,1307.506854,36.0031,-47074.3,0,-47074.3,USD,2026-01-08T10:00:00,
107,31,2,1,SUBSCRIPTION,SETTLED,2026-01-08,2026-01-10,532.174163,88.7215,47215.29,0,47215.29,USD,2026-01-08T10:00:00,
108,42,2,1,SUBSCRIPTION,SETTLED,2026-01-08,2026-01-10,133.228486,178.2585,23749.11,0,23749.11,USD,2026-01-08T10:00:00,
109,8,3,1,SUBSCRIPTION,SETTLED,2026-01-08,2026-01-10,11.337887,249.0226,2823.39,0,2823.39,USD,2026-01-08T10:00:00,
110,7,3,1,REDEMPTION,SETTLED,2026-01-08,2026-01-10,64.332889,118.8745,-7647.54,0,-7647.54,USD,2026-01-08T10:00:00,
111,38,2,3,REDEMPTION,SETTLED,2026-01-08,2026-01-10,265.491894,167.1813,-44385.28,0,-44385.28,USD,2026-01-08T10:00:00,
112,40,2,2,REDEMPTION,SETTLED,2026-01-08,2026-01-10,83.72225,175.6674,-14707.27,0,-14707.27,USD,2026-01-08T10:00:00,
113,29,1,2,REDEMPTION,SETTLED,2026-01-08,2026-01-10,1268.043528,33.8451,-42917.06,0,-42917.06,USD,2026-01-08T10:00:00,
114,35,2,3,SUBSCRIPTION,SETTLED,2026-01-08,2026-01-10,369.168792,55.5541,20508.84,0,20508.84,USD,2026-01-08T10:00:00,
115,30,2,1,SUBSCRIPTION,SETTLED,2026-01-08,2026-01-10,211.613476,153.315,32443.52,0,32443.52,USD,2026-01-08T10:00:00,
116,4,3,2,SUBSCRIPTION,SETTLED,2026-01-08,2026-01-10,49.280646,145.4987,7170.27,0,7170.27,USD,2026-01-08T10:00:00,
117,49,3,3,SUBSCRIPTION,SETTLED,2026-01-08,2026-01-10,52.95014,218.7269,11581.62,0,11581.62,USD,2026-01-08T10:00:00,
118,39,2,1,SUBSCRIPTION,SETTLED,2026-01-09,2026-01-11,199.255324,247.0066,49217.38,0,49217.38,USD,2026-01-09T10:00:00,
119,12,1,1,SUBSCRIPTION,SETTLED,2026-01-09,2026-01-11,166.8249,13.5665,2263.23,0,2263.23,USD,2026-01-09T10:00:00,
120,38,2,2,SUBSCRIPTION,SETTLED,2026-01-09,2026-01-11,346.419657,40.4221,14003.01,0,14003.01,USD,2026-01-09T10:00:00,
121,34,3,1,REDEMPTION,SETTLED,2026-01-09,2026-01-11,123.706501,196.7241,-24336.05,0,-24336.05,USD,2026-01-09T10:00:00,
122,29,1,3,SUBSCRIPTION,SETTLED,2026-01-09,2026-01-11,168.746705,184.5383,31140.23,0,31140.23,USD,2026-01-09T10:00:00,
123,30,2,3,REDEMPTION,SETTLED,2026-01-09,2026-01-11,31.854809,124.9557,-3980.44,0,-3980.44,USD,2026-01-09T10:00:00,
124,28,1,3,SUBSCRIPTION,SETTLED,2026-01-09,2026-01-11,308.339359,116.455,35907.66,0,35907.66,USD,2026-01-09T10:00:00,
125,21,1,3,SUBSCRIPTION,SETTLED,2026-01-09,2026-01-11,44.942197,159.8362,7183.39,0,7183.39,USD,2026-01-09T10:00:00,
126,25,1,3,SUBSCRIPTION,SETTLED,2026-01-09,2026-01-11,149.592408,155.3024,23232.06,0,23232.06,USD,2026-01-09T10:00:00,
127,45,3,1,REDEMPTION,SETTLED,2026-01-09,2026-01-11,169.081131,194.5511,-32894.92,0,-32894.92,USD,2026-01-09T10:00:00,
128,29,1,1,SUBSCRIPTION,SETTLED,2026-01-10,2026-01-12,393.050394,105.6952,41543.54,0,41543.54,USD,2026-01-10T10:00:00,
129,21,1,2,SUBSCRIPTION,SETTLED,2026-01-10,2026-01-12,56.474402,238.8622,13489.6,0,13489.6,USD,2026-01-10T10:00:00,
130,5,1,1,REDEMPTION,SETTLED,2026-01-10,2026-01-12,167.842836,33.1755,-5568.27,0,-5568.27,USD,2026-01-10T10:00:00,
131,9,2,3,SUBSCRIPTION,SETTLED,2026-01-10,2026-01-12,330.616627,144.804,47874.61,0,47874.61,USD,2026-01-10T10:00:00,
132,27,3,2,REDEMPTION,SETTLED,2026-01-10,2026-01-12,422.541092,111.5048,-47115.36,0,-47115.36,USD,2026-01-10T10:00:00,
133,19,1,3,SUBSCRIPTION,SETTLED,2026-01-10,2026-01-12,46.110761,131.779,6076.43,0,6076.43,USD,2026-01-10T10:00:00,
134,43,2,2,SUBSCRIPTION,SETTLED,2026-01-10,2026-01-12,29.605486,212.8896,6302.7,0,6302.7,USD,2026-01-10T10:00:00,
135,8,3,2,SUBSCRIPTION,SETTLED,2026-01-10,2026-01-12,190.539295,212.8372,40553.85,0,40553.85,USD,2026-01-10T10:00:00,
136,39,2,3,REDEMPTION,SETTLED,2026-01-10,2026-01-12,264.633517,53.2999,-14104.94,0,-14104.94,USD,2026-01-10T10:00:00,
137,22,3,2,SUBSCRIPTION,SETTLED,2026-01-10,2026-01-12,298.959272,145.9171,43623.27,0,43623.27,USD,2026-01-10T10:00:00,
138,5,1,1,REDEMPTION,SETTLED,2026-01-10,2026-01-12,1518.300345,32.0218,-48618.71,0,-48618.71,USD,2026-01-10T10:00:00,
139,25,1,2,SUBSCRIPTION,SETTLED,2026-01-10,2026-01-12,102.756713,84.793,8713.05,0,8713.05,USD,2026-01-10T10:00:00,
140,50,1,3,SUBSCRIPTION,SETTLED,2026-01-10,2026-01-12,935.456662,47.3392,44283.77,0,44283.77,USD,2026-01-10T10:00:00,
141,44,1,1,SUBSCRIPTION,SETTLED,2026-01-10,2026-01-12,264.185501,126.5588,33435.0,0,33435.0,USD,2026-01-10T10:00:00,
142,18,1,1,REDEMPTION,SETTLED,2026-01-11,2026-01-13,58.111863,113.1793,-6577.06,0,-6577.06,USD,2026-01-11T10:00:00,
143,44,1,3,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,319.204315,84.0207,26819.77,0,26819.77,USD,2026-01-11T10:00:00,
144,26,3,3,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,46.508073,236.8778,11016.73,0,11016.73,USD,2026-01-11T10:00:00,
145,49,3,2,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,53.17382,129.3725,6879.23,0,6879.23,USD,2026-01-11T10:00:00,
146,12,1,1,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,272.790033,130.063,35479.89,0,35479.89,USD,2026-01-11T10:00:00,
147,5,1,2,REDEMPTION,SETTLED,2026-01-11,2026-01-13,211.947165,14.498,-3072.81,0,-3072.81,USD,2026-01-11T10:00:00,
148,21,1,3,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,127.215126,163.634,20816.72,0,20816.72,USD,2026-01-11T10:00:00,
149,8,3,2,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,83.599574,202.3173,16913.64,0,16913.64,USD,2026-01-11T10:00:00,
150,45,3,2,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,619.622931,68.396,42379.73,0,42379.73,USD,2026-01-11T10:00:00,
151,34,3,1,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,177.119406,91.4832,16203.45,0,16203.45,USD,2026-01-11T10:00:00,
152,50,1,1,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,233.193515,137.3452,32028.01,0,32028.01,USD,2026-01-11T10:00:00,
153,50,1,2,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,290.789012,164.9063,47952.94,0,47952.94,USD,2026-01-11T10:00:00,
154,16,2,1,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,69.003816,154.5758,10666.32,0,10666.32,USD,2026-01-11T10:00:00,
155,12,1,3,SUBSCRIPTION,SETTLED,2026-01-11,2026-01-13,197.368359,192.3705,37967.85,0,37967.85,USD,2026-01-11T10:00:00,
156,37,1,3,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,145.348571,217.4192,31601.57,0,31601.57,USD,2026-01-12T10:00:00,
157,10,1,2,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,274.178156,82.6769,22668.2,0,22668.2,USD,2026-01-12T10:00:00,
158,38,2,1,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,38.36624,120.8182,4635.34,0,4635.34,USD,2026-01-12T10:00:00,
159,4,3,2,REDEMPTION,SETTLED,2026-01-12,2026-01-14,21.892282,217.42,-4759.82,0,-4759.82,USD,2026-01-12T10:00:00,
160,40,2,3,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,165.502996,143.0359,23672.87,0,23672.87,USD,2026-01-12T10:00:00,
161,29,1,3,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,134.955095,124.151,16754.81,0,16754.81,USD,2026-01-12T10:00:00,
162,4,3,2,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,487.499716,92.4251,45057.21,0,45057.21,USD,2026-01-12T10:00:00,
163,33,3,3,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,114.194434,115.062,13139.44,0,13139.44,USD,2026-01-12T10:00:00,
164,34,3,3,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,81.765556,230.3048,18831.0,0,18831.0,USD,2026-01-12T10:00:00,
165,27,3,2,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,22.091866,161.4128,3565.91,0,3565.91,USD,2026-01-12T10:00:00,
166,5,1,2,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,437.885525,78.1953,34240.59,0,34240.59,USD,2026-01-12T10:00:00,
167,22,3,1,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,84.400204,93.957,7929.99,0,7929.99,USD,2026-01-12T10:00:00,
168,9,2,3,REDEMPTION,SETTLED,2026-01-12,2026-01-14,35.737363,144.1413,-5151.23,0,-5151.23,USD,2026-01-12T10:00:00,
169,9,2,3,REDEMPTION,SETTLED,2026-01-12,2026-01-14,190.150947,249.3194,-47408.32,0,-47408.32,USD,2026-01-12T10:00:00,
170,42,2,3,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,193.041885,97.0234,18729.58,0,18729.58,USD,2026-01-12T10:00:00,
171,14,1,2,REDEMPTION,SETTLED,2026-01-12,2026-01-14,385.694645,64.3703,-24827.28,0,-24827.28,USD,2026-01-12T10:00:00,
172,10,1,1,SUBSCRIPTION,SETTLED,2026-01-12,2026-01-14,300.487237,131.8455,39617.89,0,39617.89,USD,2026-01-12T10:00:00,
173,43,2,2,REDEMPTION,SETTLED,2026-01-12,2026-01-14,204.015414,153.3391,-31283.54,0,-31283.54,USD,2026-01-12T10:00:00,
174,12,1,3,REDEMPTION,SETTLED,2026-01-13,2026-01-15,817.285952,49.7294,-40643.14,0,-40643.14,USD,2026-01-13T10:00:00,
175,3,3,2,SUBSCRIPTION,SETTLED,2026-01-13,2026-01-15,149.400518,242.7013,36259.7,0,36259.7,USD,2026-01-13T10:00:00,
176,49,3,3,REDEMPTION,SETTLED,2026-01-13,2026-01-15,184.956469,67.4004,-12466.14,0,-12466.14,USD,2026-01-13T10:00:00,
177,13,2,2,SUBSCRIPTION,SETTLED,2026-01-13,2026-01-15,250.127005,115.7434,28950.55,0,28950.55,USD,2026-01-13T10:00:00,
178,50,1,2,SUBSCRIPTION,SETTLED,2026-01-13,2026-01-15,440.020861,48.894,21514.38,0,21514.38,USD,2026-01-13T10:00:00,
